;id;;lat;;lng;
mark0;3301708;mark1;43.51655;mark2;1.48646;mark3
mark0;3327289;mark1;44.414;mark2;1.232;mark3
mark0;3328858;mark1;44.415;mark2;1.232;mark3
mark0;3338928;mark1;44.82794;mark2;0.07681;mark3
mark0;3364693;mark1;45.66895;mark2;0.1334;mark3
mark0;3365838;mark1;44.08481;mark2;1.74306;mark3
mark0;3369853;mark1;45.65333;mark2;0.15523;mark3
mark0;3378001;mark1;48.19822;mark2;-2.99541;mark3
mark0;3386107;mark1;44.24373;mark2;1.71857;mark3
mark0;3388301;mark1;44.24382;mark2;1.72116;mark3
mark0;3396041;mark1;44.12917;mark2;1.35652;mark3
mark0;3403191;mark1;43.32464;mark2;1.32233;mark3
mark0;3407312;mark1;44.24149;mark2;1.71811;mark3
mark0;3421248;mark1;44.5427;mark2;1.26391;mark3
mark0;3426659;mark1;44.09829;mark2;1.42032;mark3
mark0;3426745;mark1;44.26284;mark2;1.11844;mark3
mark0;3429975;mark1;48.351;mark2;-3.11172;mark3
mark0;3463128;mark1;48.19521;mark2;-3.26215;mark3
mark0;3481073;mark1;44.18411;mark2;1.5631;mark3
mark0;3529883;mark1;44.13467;mark2;2.3135;mark3
mark0;3530223;mark1;44.30916;mark2;1.53921;mark3
mark0;3539427;mark1;44.83692;mark2;0.21536;mark3
mark0;3547979;mark1;44.15139;mark2;1.75687;mark3
mark0;3572693;mark1;44.01681;mark2;1.35452;mark3
mark0;3574817;mark1;44.54154;mark2;0.16378;mark3
mark0;3575682;mark1;44.8585;mark2;0.13538;mark3
mark0;3575939;mark1;44.13445;mark2;2.31275;mark3
mark0;3580514;mark1;44.82819;mark2;0.16623;mark3
mark0;3582473;mark1;43.86486;mark2;1.59039;mark3
mark0;3632160;mark1;44.58285;mark2;1.16363;mark3
mark0;3640357;mark1;44.13259;mark2;2.31144;mark3
mark0;3658937;mark1;43.78143;mark2;1.67542;mark3
mark0;3669926;mark1;45.66284;mark2;0.15564;mark3
mark0;3671753;mark1;44.428;mark2;1.179;mark3
mark0;3682339;mark1;44.343;mark2;1.637;mark3
mark0;3682795;mark1;47.99574;mark2;-2.90277;mark3
mark0;3706572;mark1;45.742;mark2;-0.044;mark3
mark0;3716025;mark1;44.12971;mark2;1.47084;mark3
mark0;3722910;mark1;44.13878;mark2;1.67369;mark3
mark0;3723513;mark1;44.36223;mark2;0.0335;mark3
mark0;3733385;mark1;44.2589;mark2;0.91091;mark3
mark0;3736498;mark1;43.94906;mark2;0.7349;mark3
mark0;3752953;mark1;43.50857;mark2;1.50494;mark3
mark0;3756547;mark1;44.03894;mark2;1.62053;mark3
mark0;3778124;mark1;44.13442;mark2;2.31283;mark3
mark0;3807314;mark1;43.9592;mark2;1.83217;mark3
mark0;3815855;mark1;44.27055;mark2;2.54012;mark3
mark0;3817880;mark1;43.64299;mark2;1.53134;mark3
mark0;3825024;mark1;44.3002;mark2;1.85042;mark3
mark0;3847811;mark1;44.89546;mark2;-0.36563;mark3
mark0;3871830;mark1;44.38356;mark2;1.59629;mark3
mark0;3876216;mark1;43.84858;mark2;0.67843;mark3
mark0;3892043;mark1;43.23404;mark2;1.54851;mark3
mark0;3892309;mark1;47.48923;mark2;-1.16342;mark3
mark0;3900967;mark1;44.56074;mark2;1.63538;mark3
mark0;3928053;mark1;43.93478;mark2;0.62208;mark3
mark0;3928837;mark1;44.15393;mark2;1.7513;mark3
mark0;3936649;mark1;43.92736;mark2;0.80312;mark3
mark0;3940892;mark1;44.46033;mark2;2.29865;mark3
mark0;3941793;mark1;43.92465;mark2;1.54972;mark3
mark0;3942143;mark1;43.92694;mark2;0.80182;mark3
mark0;3943684;mark1;43.35259;mark2;1.47991;mark3
mark0;3950091;mark1;44.01489;mark2;1.91128;mark3
mark0;3961014;mark1;43.06613;mark2;0.15123;mark3
mark0;3991304;mark1;44.48;mark2;1.745;mark3
mark0;4040048;mark1;44.10911;mark2;1.99083;mark3
mark0;4050314;mark1;43.62616;mark2;1.46222;mark3
mark0;4051714;mark1;43.62;mark2;1.409;mark3
mark0;4053035;mark1;44.33026;mark2;1.39719;mark3
mark0;4056962;mark1;43.11096;mark2;0.1327;mark3
mark0;4071574;mark1;44.06297;mark2;0.97446;mark3
mark0;4072609;mark1;43.75349;mark2;1.101;mark3
mark0;4081078;mark1;43.68009;mark2;1.8915;mark3
mark0;4101082;mark1;44.252;mark2;1.455;mark3
mark0;4115282;mark1;44.4116;mark2;1.26255;mark3
mark0;4127147;mark1;44.58786;mark2;1.11756;mark3
mark0;4132856;mark1;44.862;mark2;0.062;mark3
mark0;4136095;mark1;44.42971;mark2;0.83353;mark3
mark0;4146494;mark1;44.93081;mark2;-0.30342;mark3
mark0;4187516;mark1;47.43168;mark2;-1.17302;mark3
mark0;4207491;mark1;43.74732;mark2;1.78551;mark3
mark0;4213666;mark1;44.08149;mark2;2.02325;mark3
mark0;4215263;mark1;43.47833;mark2;1.57463;mark3
mark0;4229355;mark1;43.62309;mark2;1.47511;mark3
mark0;4229642;mark1;44.34415;mark2;2.04506;mark3
mark0;4231588;mark1;43.65736;mark2;1.3091;mark3
mark0;4247798;mark1;43.64687;mark2;1.48687;mark3
mark0;4280683;mark1;44.215;mark2;1.58;mark3
mark0;4338360;mark1;44.86896;mark2;-0.35014;mark3
mark0;4340082;mark1;44.8065;mark2;0.07387;mark3
mark0;4383086;mark1;43.84862;mark2;0.67363;mark3
mark0;4399517;mark1;43.49726;mark2;1.38409;mark3
mark0;4406385;mark1;43.47275;mark2;1.54824;mark3
mark0;4424943;mark1;44.84153;mark2;0.21804;mark3
mark0;4463834;mark1;45.64861;mark2;0.14881;mark3
mark0;4465595;mark1;44.60076;mark2;1.13329;mark3
mark0;4467348;mark1;44.31038;mark2;0.19471;mark3
mark0;4478653;mark1;44.30254;mark2;0.20468;mark3
mark0;4478795;mark1;49.38766;mark2;0.84189;mark3
mark0;4480252;mark1;44.29804;mark2;0.91367;mark3
mark0;4480759;mark1;45.74112;mark2;-0.04327;mark3
mark0;4481401;mark1;45.741;mark2;-0.04371;mark3
mark0;4488141;mark1;44.20181;mark2;0.67517;mark3
mark0;4513442;mark1;49.38765;mark2;0.84198;mark3
mark0;4544463;mark1;43.58866;mark2;1.48896;mark3
mark0;4555660;mark1;44.18459;mark2;1.41285;mark3
mark0;4561583;mark1;44.342;mark2;1.637;mark3
mark0;4585000;mark1;44.44555;mark2;0.36089;mark3
mark0;4593778;mark1;43.90339;mark2;1.90553;mark3
mark0;4603083;mark1;44.1554;mark2;2.10894;mark3
mark0;4623308;mark1;45.65023;mark2;0.14909;mark3
mark0;4711810;mark1;44.735;mark2;1.18198;mark3
mark0;4722800;mark1;44.22757;mark2;1.10956;mark3
mark0;4723403;mark1;43.85;mark2;1.981;mark3
mark0;4736421;mark1;47.39378;mark2;-0.36721;mark3
mark0;4748249;mark1;44.35575;mark2;1.56871;mark3
mark0;4788795;mark1;45.66957;mark2;0.0039;mark3
mark0;4797226;mark1;43.91021;mark2;0.97987;mark3
mark0;4820771;mark1;45.656;mark2;0.145;mark3
mark0;4845536;mark1;43.50322;mark2;1.40745;mark3
mark0;4855007;mark1;43.9099;mark2;0.97944;mark3
mark0;4864897;mark1;45.67842;mark2;0.17369;mark3
mark0;4879060;mark1;43.45117;mark2;1.57395;mark3
mark0;4886240;mark1;43.6481;mark2;1.32332;mark3
mark0;4894822;mark1;44.91097;mark2;-0.4239;mark3
mark0;4931458;mark1;43.77184;mark2;1.39924;mark3
mark0;4944204;mark1;44.36237;mark2;1.07298;mark3
mark0;4956021;mark1;43.61404;mark2;1.46497;mark3
mark0;4961477;mark1;43.95752;mark2;1.73837;mark3
mark0;4964919;mark1;44.3551;mark2;1.11223;mark3
mark0;4981296;mark1;47.41322;mark2;-0.40136;mark3
mark0;5012018;mark1;45.6505;mark2;0.15376;mark3
mark0;5012787;mark1;43.88732;mark2;0.79811;mark3
mark0;5036704;mark1;48.11736;mark2;-3.15328;mark3
mark0;5046585;mark1;45.66074;mark2;0.16336;mark3
mark0;5063876;mark1;43.07026;mark2;0.14554;mark3
mark0;5087660;mark1;44.89476;mark2;-0.03719;mark3
mark0;5093150;mark1;44.29295;mark2;0.90932;mark3
mark0;5148481;mark1;44.08474;mark2;1.19065;mark3
mark0;5148712;mark1;45.66804;mark2;0.15188;mark3
mark0;5149838;mark1;44.35793;mark2;1.56775;mark3
mark0;5176674;mark1;44.817;mark2;0.141;mark3
mark0;5186831;mark1;43.82735;mark2;1.97145;mark3
mark0;5187200;mark1;44.08815;mark2;1.14749;mark3
mark0;5187748;mark1;43.94185;mark2;1.89153;mark3
mark0;5189126;mark1;44.26613;mark2;1.54672;mark3
mark0;5190762;mark1;44.20992;mark2;1.53498;mark3
mark0;5206297;mark1;44.35117;mark2;1.0376;mark3
mark0;5214719;mark1;44.55045;mark2;1.17418;mark3
mark0;5215234;mark1;44.10858;mark2;1.50527;mark3
mark0;5226695;mark1;44.55173;mark2;1.17444;mark3
mark0;5227574;mark1;44.43954;mark2;0.11272;mark3
mark0;5229633;mark1;44.35053;mark2;1.03769;mark3
mark0;5244385;mark1;44.253;mark2;1.455;mark3
mark0;5273619;mark1;44.28661;mark2;1.14236;mark3
mark0;5273883;mark1;43.87185;mark2;1.09983;mark3
mark0;5275160;mark1;44.12945;mark2;1.46862;mark3
mark0;5275700;mark1;45.64944;mark2;0.14448;mark3
mark0;5284844;mark1;44.31029;mark2;1.53895;mark3
mark0;5292258;mark1;44.063;mark2;1.95;mark3
mark0;5302987;mark1;43.87062;mark2;1.09913;mark3
mark0;5317998;mark1;44.44333;mark2;2.37094;mark3
mark0;5328398;mark1;44.34058;mark2;1.01886;mark3
mark0;5330998;mark1;43.625;mark2;1.43987;mark3
mark0;5344652;mark1;44.64011;mark2;1.26676;mark3
mark0;5344873;mark1;44.32648;mark2;1.40361;mark3
mark0;5351763;mark1;45.8181;mark2;0.03566;mark3
mark0;5357930;mark1;44.75508;mark2;1.21037;mark3
mark0;5358447;mark1;44.63877;mark2;1.26802;mark3
mark0;5400120;mark1;43.46723;mark2;1.32664;mark3
mark0;5400923;mark1;43.67478;mark2;1.51062;mark3
mark0;5401716;mark1;44.68491;mark2;1.27585;mark3
mark0;5404472;mark1;43.72266;mark2;1.29623;mark3
mark0;5417724;mark1;43.51578;mark2;1.38672;mark3
mark0;5418355;mark1;47.39977;mark2;-0.36813;mark3
mark0;5429274;mark1;44.46114;mark2;1.26675;mark3
mark0;5436443;mark1;43.7515;mark2;1.36821;mark3
mark0;5454810;mark1;44.09726;mark2;1.23026;mark3
mark0;5461190;mark1;44.18244;mark2;1.27693;mark3
mark0;5483632;mark1;44.06064;mark2;1.30671;mark3
mark0;5488125;mark1;49.35376;mark2;0.92935;mark3
mark0;5489948;mark1;43.90341;mark2;1.29771;mark3
mark0;5493739;mark1;44.58926;mark2;1.11751;mark3
mark0;5495075;mark1;44.18588;mark2;0.7962;mark3
mark0;5495502;mark1;45.029;mark2;-0.441;mark3
mark0;5496279;mark1;45.76607;mark2;0.11136;mark3
mark0;5502406;mark1;43.85237;mark2;1.80963;mark3
mark0;5503946;mark1;44.07478;mark2;1.79574;mark3
mark0;5505451;mark1;43.99434;mark2;1.71151;mark3
mark0;5505556;mark1;44.86464;mark2;-0.06888;mark3
mark0;5516734;mark1;44.60261;mark2;1.13177;mark3
mark0;5532751;mark1;44.40212;mark2;1.11978;mark3
mark0;5532952;mark1;44.19784;mark2;0.85623;mark3
mark0;5534782;mark1;44.19774;mark2;0.92171;mark3
mark0;5534914;mark1;47.35945;mark2;-0.34894;mark3
